Token,TradingSymbol,Symbol,Expiry,OptionType,StrikePrice
13160,UTIRGR35P2-MF,,,,
12060,UTIRGR35P1-MF,,,,
13947,UTIRFP35P3-MF,,,,
13158,UTIRFP35P2-MF,,,,
12057,UTIRFP35P1-MF,,,,
13946,UTIRAP35P3-MF,,,,
13156,UTIRAP35P2-MF,,,,
12048,UTIRAP35P1-MF,,,,
10511,UTINIFTETF-EQ,,,,
21478,UTINEXT50-EQ,,,,
13943,UTIDQP35P3-MF,,,,
13155,UTIDQP35P2-MF,,,,
12046,UTIDQP35P1-MF,,,,
14395,UTIDPP36P1-MF,,,,
13942,UTIDMP35P3-MF,,,,
13154,UTIDMP35P2-MF,,,,
12041,UTIDMP35P1-MF,,,,
14394,UTIDGR36P1-MF,,,,
13939,UTIDGR35P3-MF,,,,
13153,UTIDGR35P2-MF,,,,
12040,UTIDGR35P1-MF,,,,
13152,UTIDFP35P2-MF,,,,
13937,UTIDAP35P3-MF,,,,
13150,UTIDAP35P2-MF,,,,
12039,UTIDAP35P1-MF,,,,
22440,UTIBANKETF-EQ,,,,
527,UTIAMC-EQ,,,,
24061,UTFIAIPRRI-MF,,,,
24058,UTFIAIPRPI-MF,,,,
24055,UTFIAIPRGI-MF,,,,
24049,UTFIAIPIGI-MF,,,,
30426,UTFDAIPIPI-MF,,,,
30425,UTFDAIPIGI-MF,,,,
14871,USK-EQ,,,,
8840,USHAMART-EQ,,,,
25955,USHAFIN-ST,,,,
10610,USASEEDS-SM,,,,
20207,URJA-BE,,,,
16917,URBAN-ST,,,,
17081,URAVIDEF-BE,,,,
30271,UPLPP1-E1,,,,
11287,UPL-EQ,,,,
14154,UNOMINDA-EQ,,,,
17659,UNIVPHOTO-EQ,,,,
3607,UNIVCABLES-EQ,,,,
18977,UNIVASTU-EQ,,,,
17999,UNITEDTEA-EQ,,,,
7560,UNITEDPOLY-EQ,,,,
8893,UNITECH-BZ,,,,
10447,UNITDSPR-EQ,,,,
13057,UNIPARTS-EQ,,,,
29687,UNIONGOLD-EQ,,,,
10753,UNIONBANK-EQ,,,,
28960,UNIMECH-EQ,,,,
25633,UNILEX-SM,,,,
7797,UNIINFO-BE,,,,
18582,UNIHEALTH-SM,,,,
11293,UNIENTER-EQ,,,,
24809,UNIECOM-EQ,,,,
201,UNIDT-EQ,,,,
3579,UNICHEMLAB-EQ,,,,
8998,UMIYA-MRO-EQ,,,,
19145,UMESLTD-BE,,,,
11387,UMANGDAIRY-EQ,,,,
8842,UMAEXPORTS-EQ,,,,
13349,UMA-SM,,,,
11532,ULTRACEMCO-EQ,,,,
15228,UJJIVANSFB-EQ,,,,
25935,UHTL-SM,,,,
5313,UGROCAP-EQ,,,,
19578,UGARSUGAR-EQ,,,,
9039,UFO-EQ,,,,
1053,UFLEX-EQ,,,,
19113,UDS-EQ,,,,
7276,UDAICEMENT-EQ,,,,
11223,UCOBANK-EQ,,,,
4212,UCL-SM,,,,
3570,UCAL-EQ,,,,
16713,UBL-EQ,,,,
18508,TVVISION-BE,,,,
11275,TVTODAY-EQ,,,,
14245,TVSSRICHAK-EQ,,,,
18151,TVSSCS-EQ,,,,
8479,TVSMOTOR-EQ,,,,
29008,TVSHLTD-EQ,,,,
11265,TVSELECT-EQ,,,,
24520,TUNWAL-SM,,,,
8954,TTML-EQ,,,,
14314,TTL-EQ,,,,
3546,TTKPRESTIG-EQ,,,,
11369,TTKHLTCARE-EQ,,,,
23420,TRUST-ST,,,,
9387,TRU-BE,,,,
24642,TROM-SM,,,,
13081,TRIVENI-EQ,,,,
25584,TRITURBINE-EQ,,,,
5428,TRIGYN-EQ,,,,
17210,TRIDHYA-SM,,,,
9685,TRIDENT-EQ,,,,
17987,TRF-EQ,,,,
1964,TRENT-EQ,,,,
17795,TREL-EQ,,,,
7518,TREJHARA-EQ,,,,
25086,TREEHOUSE-BE,,,,
3129,TRANSWORLD-EQ,,,,
21260,TRANSWIND-SM,,,,
19801,TRANSTEEL-SM,,,,
28714,TRANSRAILL-EQ,,,,
11582,TRACXN-EQ,,,,
9219,TPLPLASTEH-EQ,,,,
20622,TPL26-N3,,,,
16996,TPHQ-EQ,,,,
16910,TOUCHWOOD-BE,,,,
22423,TOTAL-EQ,,,,
13786,TORNTPOWER-EQ,,,,
3518,TORNTPHARM-EQ,,,,
25171,TOP10ADD-EQ,,,,
24081,TOP100CASE-EQ,,,,
25264,TOLINS-BE,,,,
3837,TOKYOPLAST-EQ,,,,
3512,TNTELE-EQ,,,,
3980,TNPL-EQ,,,,
3509,TNPETRO-EQ,,,,
8882,TNIDETF-EQ,,,,
10945,TMB-EQ,,,,
3506,TITAN-EQ,,,,
15414,TITAGARH-EQ,,,,
22284,TIRUPATIFL-BE,,,,
21868,TIRUPATI-SM,,,,
3496,TIRUMALCHM-EQ,,,,
9117,TIPSMUSIC-EQ,,,,
11374,TIPSFILMS-EQ,,,,
